model,model_paper,defense,defense_paper,metric,suite,value_pct,value_raw
qwen3-coder,Qwen3-Coder,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,25.0,25.00
kimi-k2.5,Kimi-K2.5,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,36.67,36.67
kimi-k2.5,Kimi-K2.5,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,15.0,15.00
kimi-k2.5,Kimi-K2.5,spotlighting_with_delimiting,Spotlighting,benign_utility,github,50.0,50.00
kimi-k2.5,Kimi-K2.5,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,45.0,45.00
gpt-4o-mini,GPT-4o mini,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
gpt-4o-mini,GPT-4o mini,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
gpt-4o-mini,GPT-4o mini,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
gpt-4o-mini,GPT-4o mini,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
gpt-4o,GPT-4o,transformers_pi_detector,ProtectAI,benign_utility,overall,0.0,0.00
gpt-4o,GPT-4o,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
gpt-4o,GPT-4o,transformers_pi_detector,ProtectAI,benign_utility,github,0.0,0.00
gpt-4o,GPT-4o,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
gpt-5.1,GPT-5.1,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
gpt-5.1,GPT-5.1,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
gpt-5.1,GPT-5.1,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
gpt-5.1,GPT-5.1,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
gpt-5-mini,GPT-5-mini,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
gpt-5-mini,GPT-5-mini,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
gpt-5-mini,GPT-5-mini,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
gpt-5-mini,GPT-5-mini,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
gemini-2.5-pro,Gemini-2.5 Pro,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
gemini-2.5-pro,Gemini-2.5 Pro,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
gemini-2.5-pro,Gemini-2.5 Pro,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
gemini-2.5-pro,Gemini-2.5 Pro,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
gemini-2.5-flash,Gemini-2.5 Flash,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
gemini-2.5-flash,Gemini-2.5 Flash,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
gemini-2.5-flash,Gemini-2.5 Flash,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
gemini-2.5-flash,Gemini-2.5 Flash,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
claude-sonnet-3.5,Claude-Sonnet-3.5,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
claude-sonnet-3.5,Claude-Sonnet-3.5,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
claude-sonnet-3.5,Claude-Sonnet-3.5,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
claude-sonnet-3.5,Claude-Sonnet-3.5,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
claude-sonnet-4.5,Claude-Sonnet-4.5,transformers_pi_detector,ProtectAI,benign_utility,overall,0.0,0.00
claude-sonnet-4.5,Claude-Sonnet-4.5,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
claude-sonnet-4.5,Claude-Sonnet-4.5,transformers_pi_detector,ProtectAI,benign_utility,github,0.0,0.00
claude-sonnet-4.5,Claude-Sonnet-4.5,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
qwen3-235b,Qwen3 235B-A22B,transformers_pi_detector,ProtectAI,benign_utility,overall,0.0,0.00
qwen3-235b,Qwen3 235B-A22B,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
qwen3-235b,Qwen3 235B-A22B,transformers_pi_detector,ProtectAI,benign_utility,github,0.0,0.00
qwen3-235b,Qwen3 235B-A22B,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
llama-3.3-70b,Llama 3.3 70B,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
llama-3.3-70b,Llama 3.3 70B,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
llama-3.3-70b,Llama 3.3 70B,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
llama-3.3-70b,Llama 3.3 70B,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
qwen3-coder,Qwen3-Coder,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
qwen3-coder,Qwen3-Coder,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
qwen3-coder,Qwen3-Coder,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
qwen3-coder,Qwen3-Coder,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
kimi-k2.5,Kimi-K2.5,transformers_pi_detector,ProtectAI,benign_utility,overall,1.67,1.67
kimi-k2.5,Kimi-K2.5,transformers_pi_detector,ProtectAI,benign_utility,shopping,0.0,0.00
kimi-k2.5,Kimi-K2.5,transformers_pi_detector,ProtectAI,benign_utility,github,5.0,5.00
kimi-k2.5,Kimi-K2.5,transformers_pi_detector,ProtectAI,benign_utility,dailylife,0.0,0.00
gpt-4o-mini,GPT-4o mini,piguard_detector,PIGuard,benign_utility,overall,16.67,16.67
gpt-4o-mini,GPT-4o mini,piguard_detector,PIGuard,benign_utility,shopping,20.0,20.00
gpt-4o-mini,GPT-4o mini,piguard_detector,PIGuard,benign_utility,github,20.0,20.00
gpt-4o-mini,GPT-4o mini,piguard_detector,PIGuard,benign_utility,dailylife,10.0,10.00
gpt-4o,GPT-4o,piguard_detector,PIGuard,benign_utility,overall,10.0,10.00
gpt-4o,GPT-4o,piguard_detector,PIGuard,benign_utility,shopping,5.0,5.00
gpt-4o,GPT-4o,piguard_detector,PIGuard,benign_utility,github,10.0,10.00
gpt-4o,GPT-4o,piguard_detector,PIGuard,benign_utility,dailylife,15.0,15.00
gpt-5.1,GPT-5.1,piguard_detector,PIGuard,benign_utility,overall,11.67,11.67
gpt-5.1,GPT-5.1,piguard_detector,PIGuard,benign_utility,shopping,5.0,5.00
gpt-5.1,GPT-5.1,piguard_detector,PIGuard,benign_utility,github,5.0,5.00
gpt-5.1,GPT-5.1,piguard_detector,PIGuard,benign_utility,dailylife,25.0,25.00
gpt-5-mini,GPT-5-mini,piguard_detector,PIGuard,benign_utility,overall,18.33,18.33
gpt-5-mini,GPT-5-mini,piguard_detector,PIGuard,benign_utility,shopping,25.0,25.00
gpt-5-mini,GPT-5-mini,piguard_detector,PIGuard,benign_utility,github,10.0,10.00
gpt-5-mini,GPT-5-mini,piguard_detector,PIGuard,benign_utility,dailylife,20.0,20.00
gemini-2.5-pro,Gemini-2.5 Pro,piguard_detector,PIGuard,benign_utility,overall,11.67,11.67
gemini-2.5-pro,Gemini-2.5 Pro,piguard_detector,PIGuard,benign_utility,shopping,5.0,5.00
gemini-2.5-pro,Gemini-2.5 Pro,piguard_detector,PIGuard,benign_utility,github,15.0,15.00
gemini-2.5-pro,Gemini-2.5 Pro,piguard_detector,PIGuard,benign_utility,dailylife,15.0,15.00
gemini-2.5-flash,Gemini-2.5 Flash,piguard_detector,PIGuard,benign_utility,overall,8.33,8.33
gemini-2.5-flash,Gemini-2.5 Flash,piguard_detector,PIGuard,benign_utility,shopping,0.0,0.00
gemini-2.5-flash,Gemini-2.5 Flash,piguard_detector,PIGuard,benign_utility,github,5.0,5.00
gemini-2.5-flash,Gemini-2.5 Flash,piguard_detector,PIGuard,benign_utility,dailylife,20.0,20.00
claude-sonnet-3.5,Claude-Sonnet-3.5,piguard_detector,PIGuard,benign_utility,overall,11.67,11.67
claude-sonnet-3.5,Claude-Sonnet-3.5,piguard_detector,PIGuard,benign_utility,shopping,5.0,5.00
claude-sonnet-3.5,Claude-Sonnet-3.5,piguard_detector,PIGuard,benign_utility,github,10.0,10.00
claude-sonnet-3.5,Claude-Sonnet-3.5,piguard_detector,PIGuard,benign_utility,dailylife,20.0,20.00
claude-sonnet-4.5,Claude-Sonnet-4.5,piguard_detector,PIGuard,benign_utility,overall,13.33,13.33
claude-sonnet-4.5,Claude-Sonnet-4.5,piguard_detector,PIGuard,benign_utility,shopping,5.0,5.00
claude-sonnet-4.5,Claude-Sonnet-4.5,piguard_detector,PIGuard,benign_utility,github,10.0,10.00
claude-sonnet-4.5,Claude-Sonnet-4.5,piguard_detector,PIGuard,benign_utility,dailylife,25.0,25.00
qwen3-235b,Qwen3 235B-A22B,piguard_detector,PIGuard,benign_utility,overall,1.67,1.67
qwen3-235b,Qwen3 235B-A22B,piguard_detector,PIGuard,benign_utility,shopping,0.0,0.00
qwen3-235b,Qwen3 235B-A22B,piguard_detector,PIGuard,benign_utility,github,0.0,0.00
qwen3-235b,Qwen3 235B-A22B,piguard_detector,PIGuard,benign_utility,dailylife,5.0,5.00
llama-3.3-70b,Llama 3.3 70B,piguard_detector,PIGuard,benign_utility,overall,3.33,3.33
llama-3.3-70b,Llama 3.3 70B,piguard_detector,PIGuard,benign_utility,shopping,0.0,0.00
